Year,Frequency,Attribute,Commodity,Geography,Unit,Corn_Price
1866,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.657
1867,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.781
1868,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.617
1869,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.725
1870,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.521
1871,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.464
1872,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.383
1873,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.483
1874,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.641
1875,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.419
1876,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.361
1877,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.357
1878,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.313
1879,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.364
1880,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.39
1881,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.628
1882,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.481
1883,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.418
1884,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.349
1885,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.322
1886,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.357
1887,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.434
1888,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.331
1889,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.275
1890,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.496
1891,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.398
1892,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.393
1893,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.361
1894,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.451
1895,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.252
1896,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.214
1897,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.26
1898,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.285
1899,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.298
1900,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.35
1901,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.6
1902,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.401
1903,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.419
1904,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.436
1905,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.406
1906,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.391
1907,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.505
1908,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.65
1909,Commodity Market Year,Prices received by farmers,Corn,United States,Dollars per bushel,0.576
