Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1866,Commodity Market Year,Production,Corn,United States,Million bushels,730.814
1867,Commodity Market Year,Production,Corn,United States,Million bushels,793.905
1868,Commodity Market Year,Production,Corn,United States,Million bushels,919.59
1869,Commodity Market Year,Production,Corn,United States,Million bushels,782.084
1870,Commodity Market Year,Production,Corn,United States,Million bushels,1124.775
1871,Commodity Market Year,Production,Corn,United States,Million bushels,1141.715
1872,Commodity Market Year,Production,Corn,United States,Million bushels,1279.369
1873,Commodity Market Year,Production,Corn,United States,Million bushels,1008.326
1874,Commodity Market Year,Production,Corn,United States,Million bushels,1058.778
1875,Commodity Market Year,Production,Corn,United States,Million bushels,1450.276
1876,Commodity Market Year,Production,Corn,United States,Million bushels,1478.173
1877,Commodity Market Year,Production,Corn,United States,Million bushels,1515.862
1878,Commodity Market Year,Production,Corn,United States,Million bushels,1564.537
1879,Commodity Market Year,Production,Corn,United States,Million bushels,1751.984
1880,Commodity Market Year,Production,Corn,United States,Million bushels,1706.673
1881,Commodity Market Year,Production,Corn,United States,Million bushels,1244.803
1882,Commodity Market Year,Production,Corn,United States,Million bushels,1755.272
1883,Commodity Market Year,Production,Corn,United States,Million bushels,1652.148
1884,Commodity Market Year,Production,Corn,United States,Million bushels,1947.838
1885,Commodity Market Year,Production,Corn,United States,Million bushels,2057.807
1886,Commodity Market Year,Production,Corn,United States,Million bushels,1782.767
1887,Commodity Market Year,Production,Corn,United States,Million bushels,1604.549
1888,Commodity Market Year,Production,Corn,United States,Million bushels,2250.632
1889,Commodity Market Year,Production,Corn,United States,Million bushels,2294.289
1890,Commodity Market Year,Production,Corn,United States,Million bushels,1650.446
1891,Commodity Market Year,Production,Corn,United States,Million bushels,2335.804
1892,Commodity Market Year,Production,Corn,United States,Million bushels,1897.412
1893,Commodity Market Year,Production,Corn,United States,Million bushels,1900.401
1894,Commodity Market Year,Production,Corn,United States,Million bushels,1615.016
1895,Commodity Market Year,Production,Corn,United States,Million bushels,2534.762
1896,Commodity Market Year,Production,Corn,United States,Million bushels,2671.048
1897,Commodity Market Year,Production,Corn,United States,Million bushels,2287.628
1898,Commodity Market Year,Production,Corn,United States,Million bushels,2351.323
1899,Commodity Market Year,Production,Corn,United States,Million bushels,2645.796
1900,Commodity Market Year,Production,Corn,United States,Million bushels,2661.978
1901,Commodity Market Year,Production,Corn,United States,Million bushels,1715.752
1902,Commodity Market Year,Production,Corn,United States,Million bushels,2773.954
1903,Commodity Market Year,Production,Corn,United States,Million bushels,2515.093
1904,Commodity Market Year,Production,Corn,United States,Million bushels,2686.624
1905,Commodity Market Year,Production,Corn,United States,Million bushels,2954.148
1906,Commodity Market Year,Production,Corn,United States,Million bushels,3032.91
1907,Commodity Market Year,Production,Corn,United States,Million bushels,2613.797
1908,Commodity Market Year,Production,Corn,United States,Million bushels,2566.742
1909,Commodity Market Year,Production,Corn,United States,Million bushels,2611.157
1910,Commodity Market Year,Production,Corn,United States,Million bushels,2852.794
1911,Commodity Market Year,Production,Corn,United States,Million bushels,2474.635
