Year,Frequency,Attribute,Commodity,Geography,Unit,Amount
1960,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.36927507
1961,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.46383701
1962,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.45596677
1963,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.37854496
1964,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.51816267
1965,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.4778746
1966,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.66545026
1967,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.61692876
1968,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.61947005
1969,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.71852484
1970,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.82067159
1971,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.82859232
1972,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.80271118
1973,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.00511817
1974,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,1.95478291
1975,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.01743092
1976,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.0600428
1977,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.06842578
1978,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.14062742
1979,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.28859896
1980,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.36158681
1981,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.28918415
1982,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.40755855
1983,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.45138348
1984,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.64023773
1985,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.52402251
1986,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.56437045
1987,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.62673318
1988,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.68544436
1989,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.67482057
1990,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.75152438
1991,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.89613457
1992,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.83867521
1993,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.99280487
1994,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,2.87599002
1995,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.02661793
1996,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.19849883
1997,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.18606284
1998,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.26784867
1999,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.34207257
2000,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.15343616
2001,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.29950554
2002,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.43474014
2003,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.29348356
2004,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.61215297
2005,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.64790195
2006,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.70799163
2007,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.71634115
2008,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.92675634
2009,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.96499609
2010,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,3.99749891
2011,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.20790578
2012,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.21365567
2013,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.42448364
2014,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.48485024
2015,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.30849746
2016,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.63396593
2017,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.48448587
2018,Local Market Year,Yield per harvested acre,Corn,World less U.S.,Metric tons per hectare,4.73382007
